run;timestamp;sistema;query_id;carga;categoria;metrica;unidade;valor;tempo;num_tuplas;observacao
1;2026-05-10 13:00:08;sistema_arthur;35;Média de votos úteis por nota;Group By;tuplas por milissegundos;tp/ms;0.01554578978022712;321.6305;5;cache quente
1;2026-05-10 13:00:08;sistema_arthur;36;Quantidade de produtos por categoria;Group By;tuplas por milissegundos;tp/ms;83.96923669771002;298.7404;25085;cache quente
1;2026-05-10 13:00:08;sistema_arthur;37;Top 20 produtos mais baixados;Order By;tuplas por milissegundos;tp/ms;0.4686297818333865;42.6776;20;cache quente
1;2026-05-10 13:00:09;sistema_arthur;38;Top 30 reviews mais úteis;Order By;tuplas por milissegundos;tp/ms;0.07506819438744328;399.6366;30;cache quente
1;2026-05-10 13:00:11;sistema_arthur;39;Produtos acima da média global de avaliações;Subquery;tuplas por milissegundos;tp/ms;104.14986442738632;2477.1996;258000;cache quente
1;2026-05-10 13:00:14;sistema_arthur;40;Produtos com mais reviews que a média;Subquery;tuplas por milissegundos;tp/ms;22.864101555253868;2891.6509;66115;cache quente
2;2026-05-10 13:00:14;sistema_arthur;1;Busca básica de produto por ASIN;Lookup Simples;tuplas por milissegundos;tp/ms;0.24658121304064792;4.0555;1;cache quente
2;2026-05-10 13:00:14;sistema_arthur;2;Busca do identificador interno do produto;Lookup Simples;tuplas por milissegundos;tp/ms;3.570229992712522;0.2801;1;cache quente
2;2026-05-10 13:00:14;sistema_arthur;3;Busca de reviews de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;0.07477624657032456;160.4788;12;cache quente
2;2026-05-10 13:00:14;sistema_arthur;4;Busca de produtos similares;Lookup Simples;tuplas por milissegundos;tp/ms;17.6018531511444;0.2841;5;cache quente
2;2026-05-10 13:00:14;sistema_arthur;5;Busca de categorias de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;6.465210682764775;0.3093;2;cache quente
2;2026-05-10 13:00:14;sistema_arthur;6;Busca de reviews positivos de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;0.06127237762666995;179.5262;11;cache quente
2;2026-05-10 13:00:15;sistema_arthur;7;Busca de reviews úteis de um produto;Lookup Simples;tuplas por milissegundos;tp/ms;0.00629719467979708;158.8009;1;cache quente
2;2026-05-10 13:00:15;sistema_arthur;8;Busca de informações resumidas do produto;Lookup Simples;tuplas por milissegundos;tp/ms;3.9332140230822095;0.2542;1;cache quente
2;2026-05-10 13:00:15;sistema_arthur;9;Produtos com sales rank alto;Filtros;tuplas por milissegundos;tp/ms;362.491915161077;29.2724;10611;cache quente
2;2026-05-10 13:00:15;sistema_arthur;10;Produtos com muitos downloads;Filtros;tuplas por milissegundos;tp/ms;16.176388784626752;27.7565;449;cache quente
2;2026-05-10 13:00:15;sistema_arthur;11;Reviews com alta utilidade;Filtros;tuplas por milissegundos;tp/ms;226.5361502234608;169.7610;38457;cache quente
2;2026-05-10 13:00:15;sistema_arthur;12;Reviews negativos com muitos votos;Filtros;tuplas por milissegundos;tp/ms;779.5302012351058;205.7149;160361;cache quente
2;2026-05-10 13:00:15;sistema_arthur;13;Produtos do grupo Book;Filtros;tuplas por milissegundos;tp/ms;1730.5620724324185;227.4180;393561;cache quente
2;2026-05-10 13:00:15;sistema_arthur;14;Categorias raiz;Filtros;tuplas por milissegundos;tp/ms;0.9935402411234405;29.1886;29;cache quente
2;2026-05-10 13:00:16;sistema_arthur;15;Reviews recentes;Filtros;tuplas por milissegundos;tp/ms;1283.3460493442801;252.3996;323916;cache quente
2;2026-05-10 13:00:16;sistema_arthur;16;Produtos sem downloads;Filtros;tuplas por milissegundos;tp/ms;0.0;38.1227;0;cache quente
2;2026-05-10 13:00:16;sistema_arthur;17;Produto e identificador interno;Joins;tuplas por milissegundos;tp/ms;2.0060140299082785;0.4985;1;cache quente
2;2026-05-10 13:00:16;sistema_arthur;18;Produto e reviews associados;Joins;tuplas por milissegundos;tp/ms;0.07400577907368433;162.1495;12;cache quente
2;2026-05-10 13:00:16;sistema_arthur;19;Produto e categorias associadas;Joins;tuplas por milissegundos;tp/ms;2.6887141169518802;0.7439;2;cache quente
